distortion,level_index,level,sample_count,restoration_recipe_version,restoration_method,restoration_parameters,mean_restoration_runtime_ms,distorted_mean_snr_db,restored_mean_snr_db,snr_gain_db,distorted_mean_psnr_db,restored_mean_psnr_db,psnr_gain_db,distorted_mean_ssim,restored_mean_ssim,ssim_gain,distorted_mean_mae,restored_mean_mae,mae_reduction,orb_distorted,orb_restored,orb_gain,canny_distorted,canny_restored,canny_gain,seg_distorted,seg_restored,seg_gain,det_distorted,det_restored,det_gain
GaussNoise,0,5.0,125,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2680.4388591999814,25.238656503433706,26.259611449561,1.0209549461272935,34.1348828446336,35.15583776291473,1.0209549182811273,0.8870846529006958,0.9079719009399414,0.020887248039245576,3.9663927135467527,3.5059951934814455,0.4603975200653072,0.9089400000000001,0.90631,-0.0026300000000001322,0.9683186031456724,0.9684997313502038,0.0001811282045314222,0.5818804804245822,0.5751831413070595,-0.006697339117522683,0.18528548957140423,0.18348461234479752,-0.001800877226606712
GaussNoise,1,10.0,125,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.37222222222222223, ""h_color"": 4.0, ""h_luminance"": 4.6000000000000005, ""search_window"": 21, ""template_window"": 7}",2680.4502831999816,19.286547828306666,20.77716269350012,1.4906148651934537,28.182774144178932,29.673389025763978,1.4906148815850457,0.6824875440597534,0.751689025402069,0.06920148134231563,7.8930722427368165,6.591146221160889,1.3019260215759276,0.84434,0.84134,-0.0030000000000000027,0.9440569342797865,0.9462153931694087,0.0021584588896221835,0.5642378572479964,0.5574664365798251,-0.0067714206681712685,0.16102477480540095,0.16630149860083246,0.005276723795431509
GaussNoise,2,20.0,125,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.5166666666666666, ""h_color"": 8.0, ""h_luminance"": 9.200000000000001, ""search_window"": 21, ""template_window"": 7}",2672.225111199943,13.410286555971492,15.624232809901892,2.2139462539304002,22.306512859612386,24.52045914698975,2.2139462873773645,0.3914855482578278,0.5282801353931427,0.1367945871353149,15.58285513305664,11.821340171813965,3.761514961242675,0.72222,0.7147700000000001,-0.007449999999999846,0.8935580699759159,0.898975751311652,0.005417681335736058,0.5470070798575563,0.5344243585297755,-0.01258272132778071,0.1257007674208623,0.13181749028751938,0.0061167228666570705
GaussNoise,3,35.0,125,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 18.5, ""blend"": 0.7333333333333334, ""h_color"": 14.0, ""h_luminance"": 16.1, ""search_window"": 21, ""template_window"": 7}",2689.231065599989,8.893879383749889,12.490041883191276,3.5961624994413874,17.79010568378081,21.386268233356347,3.5961625495755385,0.20904750788211823,0.43676711440086363,0.2277196065187454,26.33589256286621,16.411432594299317,9.924459968566893,0.5626700000000001,0.5131699999999999,-0.04950000000000021,0.8295841317483682,0.813715593759442,-0.01586853798892618,0.4737431610765992,0.4657677120489578,-0.007975449027641413,0.06426259641929527,0.09050737676600897,0.026244780346713695
GaussNoise,4,50.0,125,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 23.0, ""blend"": 0.95, ""h_color"": 20.0, ""h_luminance"": 23.0, ""search_window"": 21, ""template_window"": 7}",2694.1813711999775,6.195878545372673,13.027509939802181,6.831631394429508,15.092104882993779,21.923736264535446,6.831631381541667,0.13364149117469787,0.5247313332557678,0.39108984208106995,35.98613645935058,14.94436302947998,21.041773429870602,0.42839,0.32844999999999996,-0.09994000000000003,0.7715184428647536,0.6961496352667541,-0.07536880759799947,0.42010335716547326,0.40665149739000417,-0.013451859775469088,0.02976401509141772,0.07173358596098946,0.04196957086957174
SevereJPEG,0,80.0,125,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.15, ""boundary_radius"": 1, ""diameter"": 5, ""global_blend"": 0.01, ""sigma_color"": 8.0, ""sigma_space"": 4.0}",37.51380000001518,31.325761684569365,31.318269599805575,-0.007492084763789819,40.221988031611936,40.21449589596282,-0.007492135649115994,0.9825767736434936,0.9837773098945618,0.001200536251068196,1.6261764612197875,1.6437878437042237,-0.017611382484436167,0.9036599999999999,0.9010699999999999,-0.002589999999999981,0.976364751848151,0.9768088159698437,0.00044406412169273324,0.5756477630479071,0.5759924439063004,0.0003446808583933425,0.17452384831039464,0.17536169421368938,0.0008378459032947483
SevereJPEG,1,60.0,125,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.1532869135802469, ""boundary_radius"": 2, ""diameter"": 7, ""global_blend"": 0.010021575637860082, ""sigma_color"": 17.6, ""sigma_space"": 7.2}",52.602752799983136,29.599658639517774,29.72412820915814,0.1244695696403646,38.49588496505474,38.62035456163108,0.12446959657633982,0.9725834684371948,0.9744817090034484,0.0018982405662536506,2.0347234048843386,2.0049896268844605,0.029733777999878086,0.8738900000000001,0.87129,-0.0026000000000000467,0.9680009469106637,0.9662215830138894,-0.0017793638967743552,0.5752752083196073,0.5739127258541393,-0.0013624824654679957,0.17669250600231118,0.17744021706018764,0.0007477110578764656
SevereJPEG,2,40.0,125,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.2025906172839506, ""boundary_radius"": 2, ""diameter"": 7, ""global_blend"": 0.011380840823045267, ""sigma_color"": 27.2, ""sigma_space"": 10.4}",52.595819199996185,28.369669776791945,28.56880683929529,0.19913706250334684,37.265896093965495,37.46503318527424,0.19913709130874224,0.9620274972915649,0.9654632244110107,0.0034357271194458416,2.3813703956604004,2.3202768602371218,0.061093535423278666,0.84521,0.84397,-0.0012400000000000189,0.9548584542093858,0.9522020654323373,-0.002656388777048435,0.567926171761986,0.5713734859015327,0.0034473141395466866,0.17670125674644416,0.17663934702987308,-6.190971657107913e-05
SevereJPEG,3,20.0,125,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.41624000000000005, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.025728640000000004, ""sigma_color"": 36.8, ""sigma_space"": 13.600000000000001}",67.92360159995587,25.723066916700166,26.053066089415484,0.3299991727153184,34.61929324759026,34.9492924215052,0.32999917391494193,0.936721095085144,0.9463896565437316,0.009668561458587632,3.415797668457031,3.283031551361084,0.13276611709594688,0.77983,0.7702200000000001,-0.009609999999999896,0.9298964113839788,0.8987615696843517,-0.031134841699627103,0.5223994363708113,0.5201229520829171,-0.002276484287894176,0.16272245046234107,0.16139821035461657,-0.0013242401077245003
SevereJPEG,4,5.0,125,3,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",68.09275039997738,18.50468299320412,19.133884150181693,0.6292011569775724,27.400909299889108,28.030110475994732,0.6292011761056244,0.834740553855896,0.8751574048995971,0.040416851043701185,8.484515781402587,7.944214210510254,0.5403015708923329,0.4447999999999999,0.44506,0.0002600000000000935,0.8350520281494204,0.7817559677629909,-0.05329606038642942,0.3201545331110317,0.33891151698755345,0.01875698387652175,0.10730795351137219,0.11226496692459387,0.004957013413221675
LowLight,0,0.8,125,3,exposure-compensating gamma lift followed by luminance CLAHE,"{""blend"": 0.42, ""clahe_clip"": 1.15, ""clahe_grid"": 8, ""gamma"": 0.88}",23.334317600027134,13.822912186791497,18.271434620061683,4.4485224332701865,22.719138524606507,27.167660937891164,4.448522413284657,0.9652481436729431,0.9873773393630981,0.022129195690155035,16.159094917297363,8.150525819778442,8.00856909751892,0.9595899999999999,0.7766600000000001,-0.18292999999999981,0.7210152494483981,0.8632523599589379,0.14223711051053978,0.5825540154940102,0.5828902277255547,0.0003362122315444527,0.17328384950839018,0.178186896804065,0.004903047295674812
LowLight,1,0.6,125,3,exposure-compensating gamma lift followed by luminance CLAHE,"{""blend"": 0.562857142857143, ""clahe_clip"": 1.592857142857143, ""clahe_grid"": 8, ""gamma"": 0.7771428571428571}",23.490287999979046,7.880950660435266,13.580759316456595,5.699808656021329,16.777176987671748,22.476985610837275,5.699808623165527,0.8502171788215637,0.9695203585624694,0.11930317974090576,31.923201705932616,13.693197425842285,18.23000428009033,0.94396,0.5832200000000001,-0.36073999999999995,0.2823552429850517,0.6771822177651095,0.39482697478005774,0.5792701030146162,0.575375797210999,-0.0038943058036172706,0.17222483074505476,0.18047778120786456,0.0082529504628098
LowLight,2,0.4,125,3,exposure-compensating gamma lift followed by luminance CLAHE,"{""blend"": 0.7057142857142857, ""clahe_clip"": 2.0357142857142856, ""clahe_grid"": 8, ""gamma"": 0.6742857142857143}",23.508833600011712,4.3847848960593305,11.389445988690875,7.004661092631545,13.281011239980105,20.285672297241092,7.0046610572609875,0.6309436130523681,0.9494828209877014,0.3185392079353333,47.69064895629883,17.324136894226076,30.366512062072754,0.8563800000000001,0.42284,-0.43354000000000015,0.007609760631802313,0.5141194932494522,0.5065097326176499,0.5756033287872377,0.5662271754789581,-0.009376153308279678,0.16819054530462857,0.1765593683383599,0.00836882303373132
LowLight,3,0.25,125,3,exposure-compensating gamma lift followed by luminance CLAHE,"{""blend"": 0.812857142857143, ""clahe_clip"": 2.367857142857143, ""clahe_grid"": 8, ""gamma"": 0.5971428571428572}",23.662730399992142,2.455643534435188,10.100456411125844,7.644812876690656,11.351869853429076,18.99668274243136,7.644812889002285,0.40540007257461547,0.9314053983688354,0.5260053257942199,59.50161898803711,20.047072898864744,39.45454608917237,0.4828299999999999,0.36477,-0.11805999999999994,0.0,0.386218772499288,0.386218772499288,0.5632675363171656,0.563915332945298,0.0006477966281324132,0.1496431161869771,0.17820307282952816,0.028559956642551065
LowLight,4,0.1,125,3,exposure-compensating gamma lift followed by luminance CLAHE,"{""blend"": 0.9199999999999999, ""clahe_clip"": 2.7, ""clahe_grid"": 8, ""gamma"": 0.52}",23.989727199994377,0.8736820382822406,7.349919119969366,6.476237081687126,9.769908390138125,16.246145471792627,6.476237081654501,0.15566684341430664,0.8628136405944824,0.7071467971801757,71.39707586669923,29.277963760375975,42.11911210632325,1e-05,0.40579999999999994,0.40578999999999993,0.0,0.09664964607749056,0.09664964607749056,0.506874767725492,0.5365825321810537,0.02970776445556167,0.09549806165110367,0.16385998635836335,0.06836192470725969
MotionBlur,0,3.0,125,3,known-PSF Tikhonov deconvolution with Laplacian regularization,"{""blend"": 0.45, ""kernel_size"": 3, ""padding"": 12, ""regularization"": 0.0015}",830.9968688000156,33.44332108472217,36.20996697743829,2.76664589271612,42.33954737366713,45.10619331811405,2.766645944446921,0.9887455406188965,0.992668025970459,0.003922485351562477,0.8319292147159576,0.6523122022151947,0.1796170125007629,0.8480599999999999,0.8930200000000001,0.04496000000000022,0.9066286358458427,0.9428183087446346,0.036189672898791825,0.5806074406641958,0.5820475616628381,0.0014401209986423247,0.1717832027196539,0.17285783995110868,0.0010746372314547892
MotionBlur,1,5.0,125,3,known-PSF Tikhonov deconvolution with Laplacian regularization,"{""blend"": 0.4916666666666667, ""kernel_size"": 5, ""padding"": 12, ""regularization"": 0.0039}",831.9739664000372,27.497189104952337,28.926945393470145,1.4297562885178081,36.39341542725059,37.82317171833695,1.4297562910863633,0.9592727527618409,0.9683293294906616,0.009056576728820764,1.915665493965149,1.694522012233734,0.22114348173141485,0.6547800000000001,0.7331500000000001,0.07836999999999994,0.7093393459348147,0.8206627121561888,0.11132336622137406,0.5762221213603285,0.577274196335804,0.0010520749754755476,0.17066617192063196,0.17264889166936417,0.001982719748732209
MotionBlur,2,9.0,125,3,known-PSF Tikhonov deconvolution with Laplacian regularization,"{""blend"": 0.575, ""kernel_size"": 9, ""padding"": 18, ""regularization"": 0.0231}",890.9380799999561,24.09807720919974,26.852126112018073,2.754048902818333,32.99430352433267,35.74835242862401,2.754048904291338,0.9241587781906128,0.9516243023872375,0.027465524196624735,2.8249474925994873,2.1589068784713743,0.666040614128113,0.40765999999999997,0.6104799999999999,0.20281999999999994,0.4892465249815595,0.6849757444161844,0.19572921943462485,0.5665408740161805,0.5738947316079288,0.007353857591748336,0.15244974264532557,0.16806541437752204,0.015615671732196468
MotionBlur,3,15.0,125,3,known-PSF Tikhonov deconvolution with Laplacian regularization,"{""blend"": 0.7, ""kernel_size"": 15, ""padding"": 30, ""regularization"": 0.08789999999999999}",988.6592735999874,20.894327449793806,24.05514145325526,3.1608140034614536,29.79055376934029,32.951367780929175,3.1608140115888865,0.8761235690116882,0.9198947095870972,0.043771140575408984,4.222987488746643,3.1174739923477173,1.1055134963989257,0.14374,0.4463600000000001,0.3026200000000001,0.24112577944343758,0.4997521402635689,0.25862636082013135,0.5435562035374722,0.5312691104595888,-0.012287093077883449,0.12943196350021352,0.15786128096992497,0.028429317469711446
MotionBlur,4,25.0,125,3,known-PSF Tikhonov deconvolution with Laplacian regularization,"{""blend"": 0.4, ""kernel_size"": 25, ""padding"": 50, ""regularization"": 0.2919}",1218.7835383999775,18.42366432121928,20.189355685407037,1.7656913641877559,27.319890668319193,29.085582031651313,1.7656913633321203,0.8390512976646424,0.866882553577423,0.027831255912780684,5.789730089187622,4.990652618408203,0.7990774707794195,0.026930000000000003,0.13736999999999996,0.11043999999999995,0.10651143758705803,0.14972574635415598,0.04321430876709795,0.48764207152360434,0.4636448467436211,-0.02399722477998323,0.08798744596607254,0.11728599645123158,0.029298550485159044
